CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00001,Male,0,No,Yes,62,Yes,No,Month-to-month,No,Credit card,21.77,1304.51,Yes
CUST_00002,Female,0,No,No,69,Yes,Fiber optic,Month-to-month,Yes,Mailed check,104.77,6984.01,No
CUST_00003,Male,0,No,No,63,No,DSL,Two year,Yes,Bank transfer,50.32,3156.96,No
CUST_00004,Male,1,Yes,No,2,Yes,Fiber optic,One year,No,Mailed check,105.11,217.47,No
CUST_00005,Male,0,Yes,Yes,54,Yes,Fiber optic,Two year,Yes,Credit card,89.06,5005.81,No
CUST_00006,Female,0,Yes,No,16,Yes,DSL,Month-to-month,No,Bank transfer,71.26,1156.34,No
CUST_00007,Male,1,Yes,No,55,Yes,Fiber optic,Two year,Yes,Credit card,80.25,4352.12,No
CUST_00008,Male,0,No,Yes,43,Yes,DSL,Month-to-month,No,Credit card,74.14,3267.69,No
CUST_00009,Male,0,No,Yes,61,Yes,No,Two year,No,Mailed check,21.98,1312.69,No
CUST_00010,Female,1,No,Yes,38,Yes,Fiber optic,Month-to-month,No,Bank transfer,70.33,2597.6,No
CUST_00011,Male,0,No,Yes,45,Yes,No,One year,No,Bank transfer,21.63,1002.33,No
CUST_00012,Male,1,Yes,No,51,Yes,No,Month-to-month,Yes,Mailed check,20.17,1054.62,No
CUST_00013,Male,0,No,Yes,42,Yes,No,Two year,No,Electronic check,18.4,802.44,No
CUST_00014,Male,0,Yes,No,24,Yes,DSL,One year,No,Mailed check,60.66,1466.87,No
CUST_00015,Female,0,No,Yes,30,Yes,No,Two year,No,Mailed check,20.18,629.43,No
CUST_00016,Male,1,No,Yes,37,Yes,Fiber optic,Month-to-month,No,Electronic check,79.2,2791.55,Yes
CUST_00017,Female,0,No,No,53,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,85.71,4430.78,No
CUST_00018,Female,0,Yes,No,63,No,DSL,Month-to-month,Yes,Electronic check,51.29,3329.4,No
CUST_00019,Female,0,Yes,No,11,Yes,DSL,Month-to-month,Yes,Credit card,55.49,605.77,No
CUST_00020,Male,0,No,Yes,23,Yes,No,Two year,No,Credit card,18.81,421.3,No
CUST_00021,Female,0,No,Yes,50,Yes,DSL,Month-to-month,Yes,Mailed check,47.95,2468.55,No
CUST_00022,Male,0,No,No,55,Yes,DSL,Month-to-month,No,Credit card,76.85,4363.0,No
CUST_00023,Female,0,Yes,No,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,110.62,6057.73,Yes
CUST_00024,Female,0,Yes,Yes,4,Yes,No,One year,Yes,Credit card,23.8,94.87,No
CUST_00025,Female,0,Yes,No,54,Yes,Fiber optic,Month-to-month,No,Bank transfer,80.36,4461.61,No
CUST_00026,Female,0,No,No,61,Yes,No,Two year,Yes,Mailed check,23.08,1446.16,No
CUST_00027,Female,0,Yes,Yes,5,Yes,DSL,Month-to-month,No,Mailed check,65.64,340.23,No
CUST_00028,Female,1,No,No,18,Yes,DSL,Two year,Yes,Bank transfer,46.79,854.53,No
CUST_00029,Female,0,Yes,Yes,44,Yes,Fiber optic,One year,No,Bank transfer,110.48,4708.49,No
CUST_00030,Female,1,No,Yes,31,Yes,Fiber optic,Month-to-month,No,Mailed check,114.91,3579.89,No
CUST_00031,Male,0,No,Yes,21,Yes,Fiber optic,Two year,No,Bank transfer,101.89,2114.58,No
CUST_00032,Male,0,Yes,No,47,No,DSL,Month-to-month,No,Credit card,53.1,2377.79,Yes
CUST_00033,Female,0,No,No,30,Yes,DSL,One year,Yes,Credit card,64.4,1873.49,No
CUST_00034,Female,0,No,No,55,No,DSL,One year,No,Credit card,48.83,2606.49,No
CUST_00035,Female,0,No,No,68,Yes,Fiber optic,Month-to-month,Yes,Credit card,83.45,5437.27,No
CUST_00036,Male,0,Yes,Yes,69,Yes,Fiber optic,Two year,No,Electronic check,102.28,7024.14,No
CUST_00037,Female,0,No,Yes,41,Yes,DSL,One year,No,Electronic check,55.54,2278.87,No
CUST_00038,Male,0,Yes,No,45,Yes,DSL,Two year,No,Electronic check,50.15,2220.74,No
CUST_00039,Male,0,Yes,No,30,Yes,Fiber optic,Month-to-month,No,Electronic check,70.34,2091.59,No
CUST_00040,Male,0,No,No,45,No,No,Month-to-month,Yes,Credit card,22.01,995.24,No
CUST_00041,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Yes,Credit card,113.59,4917.57,Yes
CUST_00042,Male,0,No,Yes,45,Yes,DSL,Two year,No,Bank transfer,61.94,2804.87,No
CUST_00043,Female,0,Yes,No,55,Yes,Fiber optic,Two year,Yes,Electronic check,79.57,4468.08,No
CUST_00044,Female,0,No,Yes,59,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.85,5560.88,No
CUST_00045,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,No,Mailed check,97.09,475.84,Yes
CUST_00046,Female,0,No,No,32,Yes,DSL,One year,Yes,Bank transfer,73.05,2395.37,No
CUST_00047,Female,0,No,No,6,Yes,Fiber optic,Two year,No,Credit card,90.37,547.97,No
CUST_00048,Male,0,No,Yes,26,Yes,Fiber optic,Two year,No,Bank transfer,77.78,2022.92,No
CUST_00049,Female,0,No,No,37,Yes,DSL,Month-to-month,Yes,Bank transfer,51.58,1988.54,No
CUST_00050,Female,0,Yes,Yes,13,Yes,DSL,Month-to-month,Yes,Mailed check,76.49,1006.31,Yes
CUST_00051,Male,0,Yes,Yes,69,Yes,Fiber optic,Month-to-month,No,Mailed check,80.63,5489.02,Yes
CUST_00052,Female,0,No,No,25,Yes,Fiber optic,Month-to-month,No,Bank transfer,102.76,2623.72,Yes
CUST_00053,Male,0,Yes,Yes,13,Yes,No,Two year,No,Electronic check,19.88,270.36,No
CUST_00054,Female,1,No,Yes,20,Yes,Fiber optic,Month-to-month,Yes,Credit card,102.43,2134.17,No
CUST_00055,Male,0,No,Yes,72,Yes,Fiber optic,Two year,No,Mailed check,73.53,5548.15,No
CUST_00056,Female,1,Yes,No,60,Yes,DSL,Month-to-month,No,Mailed check,52.26,3008.56,No
CUST_00057,Female,0,Yes,Yes,21,Yes,No,One year,No,Credit card,20.86,435.6,No
CUST_00058,Male,0,No,Yes,61,Yes,Fiber optic,One year,No,Mailed check,93.19,5646.28,No
CUST_00059,Male,0,Yes,No,26,Yes,Fiber optic,Month-to-month,No,Bank transfer,85.88,2207.01,No
CUST_00060,Male,0,No,No,54,Yes,DSL,Month-to-month,Yes,Credit card,65.07,3400.97,No
CUST_00061,Male,0,Yes,Yes,42,No,DSL,One year,Yes,Electronic check,56.39,2446.97,No
CUST_00062,Male,0,Yes,Yes,11,Yes,Fiber optic,Two year,Yes,Mailed check,100.53,1124.97,No
CUST_00063,Male,0,Yes,Yes,37,Yes,DSL,Month-to-month,Yes,Mailed check,62.89,2351.68,No
CUST_00064,Male,0,Yes,Yes,11,Yes,DSL,Two year,Yes,Bank transfer,69.68,762.39,Yes
CUST_00065,Male,0,Yes,No,27,Yes,DSL,Two year,No,Electronic check,60.08,1604.19,No
CUST_00066,Female,0,No,No,34,Yes,DSL,One year,Yes,Mailed check,75.68,2646.74,No
CUST_00067,Female,0,Yes,Yes,38,Yes,Fiber optic,One year,No,Credit card,87.2,3322.34,No
CUST_00068,Male,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Yes,Credit card,83.87,,Yes
CUST_00069,Female,0,No,Yes,53,Yes,DSL,Month-to-month,Yes,Bank transfer,64.5,3281.66,Yes
CUST_00070,Female,1,No,No,65,Yes,Fiber optic,One year,No,Bank transfer,92.91,6022.11,Yes
CUST_00071,Female,0,No,No,3,Yes,No,One year,Yes,Mailed check,21.63,62.48,No
CUST_00072,Female,1,Yes,Yes,67,Yes,No,Month-to-month,Yes,Bank transfer,23.57,1508.92,No
CUST_00073,Male,0,Yes,Yes,28,Yes,Fiber optic,Two year,No,Credit card,96.49,2752.77,No
CUST_00074,Female,0,No,Yes,14,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,109.84,1503.09,Yes
CUST_00075,Male,0,No,Yes,52,Yes,DSL,Two year,Yes,Credit card,66.67,3627.98,No
CUST_00076,Female,0,No,No,30,Yes,Fiber optic,One year,Yes,Mailed check,70.98,2151.76,No
CUST_00077,Female,1,No,No,58,Yes,Fiber optic,Two year,No,Credit card,109.17,6423.64,No
CUST_00078,Female,0,Yes,Yes,54,Yes,Fiber optic,One year,Yes,Bank transfer,107.79,5644.21,No
CUST_00079,Male,0,Yes,No,69,Yes,DSL,One year,Yes,Credit card,46.71,3103.36,No
CUST_00080,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,No,Credit card,75.64,1137.45,Yes
CUST_00081,Male,0,Yes,Yes,38,Yes,No,Month-to-month,Yes,Electronic check,21.89,867.4,Yes
CUST_00082,Female,1,Yes,Yes,14,Yes,No,One year,No,Electronic check,18.3,244.82,Yes
CUST_00083,Male,0,No,No,57,Yes,Fiber optic,Two year,No,Mailed check,88.5,5048.77,No
CUST_00084,Female,0,Yes,Yes,59,Yes,DSL,One year,No,Credit card,79.14,4528.44,No
CUST_00085,Male,0,No,Yes,8,Yes,DSL,Month-to-month,No,Credit card,51.05,419.89,No
CUST_00086,Male,0,No,No,72,Yes,No,Month-to-month,Yes,Credit card,19.44,1425.34,No
CUST_00087,Female,0,No,No,19,Yes,DSL,One year,Yes,Electronic check,68.67,1252.22,No
CUST_00088,Male,0,Yes,Yes,32,No,Fiber optic,One year,No,Credit card,71.98,2330.12,No
CUST_00089,Female,0,No,No,29,Yes,Fiber optic,Two year,Yes,Electronic check,106.93,3250.96,Yes
